first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_group
Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7.0,65,1.3625,23.91749709678419,20-34
Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8.0,65,1.3625,40.72003239867266,35-49
Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11.0,65,1.3625,27.25500573830318,20-34
Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7.0,68,1.3546875,39.03895749638171,35-49
Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5.0,68,1.3546875,24.37198965994428,20-34
Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7.0,68,1.3546875,27.216675040205338,20-34
Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10.0,72,1.35,29.21534715530695,20-34
Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9.0,72,1.35,24.084509424210488,20-34
Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12.0,72,1.35,49.0952899330505,50-64
Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9.0,77,1.34140625,62.51924798831516,50-64
Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7.0,78,1.3375,66.99846385174835,65-79
Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10.0,78,1.3375,51.770225078878276,50-64
Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6.0,78,1.3375,49.89749668609814,50-64
Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12.0,78,1.3375,28.5363462175738,20-34
Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8.0,78,1.3375,58.119431428084624,50-64
Gardie,Crellim,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12.0,84,1.328125,48.10964341053464,35-49
Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10.0,85,1.325,62.58495775648288,50-64
Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9.0,85,1.325,24.681373151733982,20-34
Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9.0,89,1.3125,73.69538439084225,65-79
Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2.0,89,1.3125,52.17817322291956,50-64
Patricia,Everix,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7.0,89,1.3125,45.67016826730788,35-49
Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4.0,96,1.3,80.70168842172585,80-94
Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6.0,96,1.3,28.97441133869196,20-34
Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10.0,99,1.296875,50.96801832583064,50-64
Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8.0,99,1.296875,23.45205290559614,20-34
Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4.0,99,1.296875,32.74724719432213,20-34
Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2.0,102,1.28828125,29.69174297452295,20-34
Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2.0,102,1.28828125,83.75993054853201,80-94
Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2.0,104,1.2875,43.00344684250108,35-49
Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6.0,104,1.2875,62.00452147100132,50-64
Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3.0,104,1.2875,76.9973002412704,65-79
Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9.0,104,1.2875,60.35082563878026,50-64
Lyon,Brittan,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8.0,104,1.2875,51.49643437817942,50-64
Franciska,Stigell,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7.0,111,1.28125,54.93250767195,50-64
Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5.0,111,1.28125,83.86944682881155,80-94
Meriel,Tapp,Female,0,1995-08-13,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2.0,114,1.275,28.19136993469325,20-34
Dolley,Starmont,Female,53,1977-11-08,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6.0,114,1.275,45.9521726890277,35-49
Rollo,Louedey,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9.0,114,1.275,77.28751838401118,65-79
Jerrine,Cosbey,Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9.0,114,1.275,45.776946640580434,35-49
Roddy,Rubinshtein,Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7.0,114,1.275,36.03821141672231,35-49
Viki,Coutts,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4.0,120,1.2625,70.85343691758817,65-79
Ashby,Bispham,Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8.0,120,1.2625,41.979469621887375,35-49
Peria,Rantoull,Female,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4.0,120,1.2625,48.610680392813535,35-49
Rebeca,Aggas,Female,66,1953-02-27,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1.0,127,1.25,70.64809389206404,65-79
Ricki,Dobrowski,Male,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1.0,127,1.25,48.6188941138345,35-49
Georgetta,Lovett,Female,42,1940-02-02,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1.0,127,1.25,83.71886194342719,80-94
Bambi,Cogger,Female,51,1990-07-12,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7.0,127,1.25,33.2784011536779,20-34
Aurie,Rhead,Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2.0,127,1.25,61.235169602037544,50-64
Lacy,Drance,Female,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8.0,133,1.2375,45.70849896540572,35-49
Malorie,Votier,Female,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5.0,133,1.2375,33.39886906198539,20-34
Shepperd,Ricards,Male,28,1967-09-27,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4.0,133,1.2375,56.06873907985023,50-64
Daryl,Pauncefort,Female,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3.0,133,1.2375,44.34502127592544,35-49
Norina,Blakeway,Female,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8.0,133,1.2375,43.69339940826218,35-49
My,Chaston,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9.0,133,1.2375,57.2679423489112,50-64
Isak,Bergstram,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9.0,142,1.23515625,22.62246708247862,20-34
Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8.0,142,1.23515625,74.62901068022533,65-79
Welby,Lourenco,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9.0,144,1.234375,47.81942526779386,35-49
Glenn,Casbourne,Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1.0,144,1.234375,42.20397799646043,35-49
Nadiya,Balasini,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9.0,146,1.225,72.96162531296932,65-79
Tyne,Coate,Female,82,1965-07-15,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8.0,146,1.225,58.27001631346899,50-64
Christie,Anders,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10.0,146,1.225,54.05363952270669,50-64
Agnella,Capener,Female,58,1969-05-21,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6.0,146,1.225,54.42051906164315,50-64
Daisy,Spowart,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3.0,146,1.225,55.84423070527718,50-64
Denys,Minshall,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8.0,152,1.221875,61.82108170153309,50-64
Archibald,Blessed,Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11.0,153,1.21875,54.694309762342,50-64
Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5.0,154,1.203125,62.18796124046955,50-64
Skippie,Yearsley,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5.0,155,1.2,67.1298833880838,65-79
Tessa,Friese,Female,89,1976-10-24,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9.0,157,1.1953125,46.99257735168333,35-49
Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9.0,158,1.1875,66.40981384524582,65-79
Nichole,Leisman,Male,37,1986-08-07,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12.0,158,1.1875,37.207297708706406,35-49
Amil,Ennor,Female,23,1995-08-04,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11.0,158,1.1875,28.216011097756144,20-34
Shawna,Hinrichsen,Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2.0,163,1.18203125,54.15220417495828,50-64
Robert,Corkill,Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10.0,166,1.175,47.611344335262736,35-49
Elvira,Kurten,Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3.0,166,1.175,50.595662972880206,50-64
Juliana,Mitchenson,Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4.0,166,1.175,34.792463728542536,35-49
Regine,Bownes,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9.0,166,1.175,71.30792948074827,65-79
Abner,Fraschetti,Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7.0,166,1.175,37.74392748207615,35-49
Sawyer,Sponton,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11.0,166,1.175,67.66377525444656,65-79
Feodor,Vickers,Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6.0,173,1.171875,33.92454720732718,20-34
Paten,Cayet,Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1.0,174,1.16875,28.670503660916236,20-34
Loria,Tappington,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8.0,174,1.16875,68.12648153862762,65-79
Tanya,Kiefer,Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9.0,174,1.16875,31.296156480618215,20-34
Omero,McDonand,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9.0,177,1.1625,71.55707901838421,65-79
Iain,Haversham,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10.0,177,1.1625,72.82199205561291,65-79
Keriann,Newham,Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9.0,177,1.1625,48.575087601722686,35-49
Conroy,Rappaport,Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9.0,181,1.158125,58.78474283078283,50-64
Dorian,Rustman,Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7.0,181,1.158125,48.86804365147046,35-49
Harlin,Mazin,Male,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7.0,181,1.158125,49.57716156628048,50-64
Eustacia,Dornan,Female,68,1985-09-02,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9.0,181,1.158125,38.13544818407551,35-49
Maury,Galego,Male,65,1992-07-27,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10.0,181,1.158125,31.235922526464467,20-34
Reggie,Kernar,Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10.0,181,1.158125,51.89890670820674,50-64
Kinna,Kollasch,Female,7,1986-11-09,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10.0,188,1.15625,36.94993445004948,35-49
Maurizio,Comi,Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9.0,190,1.15546875,27.39463899565959,20-34
Elbertina,Fendley,Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11.0,191,1.15,31.569947181317065,20-34
Franklin,Wohler,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8.0,191,1.15,85.01662986473973,80-94
Allyson,Petchell,Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8.0,191,1.15,53.593671145532625,50-64
Ermentrude,Heindle,Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10.0,191,1.15,54.22065185013299,50-64
Alanna,Lerway,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12.0,195,1.1475,79.79544120241265,80-94
Vincent,Jopke,Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3.0,195,1.1475,51.61690228648692,50-64
Charlena,Berney,Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4.0,195,1.1475,57.801834215273956,50-64
Rosemonde,Cartwight,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1.0,202,1.140625,71.00402180297255,65-79
Benoit,Harniman,Male,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7.0,206,1.1375,47.151375958088664,35-49
Jenelle,Fearnill,Female,12,1958-01-03,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9.0,206,1.1375,65.7992605826874,65-79
Tannie,Gambrell,Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4.0,206,1.1375,56.410977455723796,50-64
