customer_id,recency,frequency,profit,r,f,m,rfm_score,customer_profile,address,postcode,state,country,property_valuation,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
78,211.0,2,82.25999999999999,1,1,1,111,Bronze,97455 Loeprich Lane,2153,NSW,Australia,9,Male,37,1985-03-12,Argiculture,Affluent Customer,No,8.0,38.61130496340594,35-49
79,47.0,5,1860.29,2,2,2,222,Silver,9527 Ridgeway Street,2073,NSW,Australia,10,Female,76,1968-10-02,Manufacturing,Mass Customer,No,18.0,55.05243654037193,50-64
80,28.0,10,5988.86,3,4,4,344,Gold,7 Jackson Point,3561,VIC,Australia,1,Male,11,1978-04-24,Entertainment,Mass Customer,No,13.0,45.49440317897505,35-49
82,78.0,5,2924.37,2,2,3,223,Silver,2083 Spaight Court,3977,VIC,Australia,8,Female,93,1965-06-28,Property,High Net Worth,No,19.0,58.31602169270223,50-64
83,80.0,6,1798.2,2,3,2,232,Silver,2796 Caliangt Circle,2204,NSW,Australia,12,Male,97,1967-02-26,IT,Mass Customer,Yes,18.0,56.651374232453215,50-64
86,0.0,9,2360.09,4,4,2,442,Platinum,289 Haas Street,2075,NSW,Australia,11,Male,75,1989-03-04,Health,High Net Worth,Yes,7.0,34.633126082251636,35-49
87,18.0,9,3740.7599999999998,4,4,3,443,Platinum,4423 Bartelt Parkway,2038,NSW,Australia,12,Male,78,1974-04-23,Financial Services,Mass Customer,No,8.0,49.49722322319224,50-64
88,74.0,6,2534.3300000000004,2,3,2,232,Silver,5 Grim Center,2069,NSW,Australia,12,Female,41,1966-02-03,Property,High Net Worth,Yes,7.0,57.71368215116476,50-64
89,4.0,9,5779.650000000001,4,4,4,444,Platinum,73042 Roth Crossing,2100,NSW,Australia,11,Male,74,1967-01-22,Health,Mass Customer,Yes,14.0,56.747200977697815,50-64
90,30.0,7,2990.73,3,3,3,333,Gold,171 Fordem Junction,2233,NSW,Australia,10,Male,76,1984-11-12,Manufacturing,Mass Customer,No,11.0,38.939853804244564,35-49
91,9.0,8,5242.410000000001,4,4,4,444,Platinum,2640 Manley Point,2166,NSW,Australia,9,Male,69,1955-02-24,Financial Services,Affluent Customer,Yes,17.0,68.65709645809783,65-79
92,34.0,3,2967.4399999999996,3,1,3,313,Gold,3 Hintze Pass,3133,VIC,Australia,10,Female,98,1980-09-11,Health,Mass Customer,No,12.0,43.10968617588806,35-49
93,79.0,3,2976.41,2,1,3,213,Silver,2 Mcbride Road,3070,VIC,Australia,10,Male,63,1976-07-16,Retail,Mass Customer,Yes,10.0,47.26582901249661,35-49
94,33.0,7,4902.21,3,3,4,334,Gold,67234 Transport Hill,2777,NSW,Australia,7,Male,33,1974-08-07,Manufacturing,Mass Customer,No,21.0,49.20700508045147,50-64
95,38.0,4,3050.8099999999995,3,1,3,313,Gold,72 Dorton Crossing,3133,VIC,Australia,10,Female,67,1960-12-25,Manufacturing,Affluent Customer,Yes,8.0,62.82261662620531,50-64
96,70.0,3,1135.25,2,1,1,211,Bronze,6 Heffernan Center,2125,NSW,Australia,11,Male,33,1968-08-31,Manufacturing,Mass Customer,No,15.0,55.14004956459556,50-64
97,102.0,8,4911.21,1,4,4,144,Bronze,6088 Roxbury Hill,2766,NSW,Australia,8,Male,16,1979-07-27,Financial Services,Mass Customer,Yes,10.0,44.237703862767326,35-49
99,2.0,9,4557.65,4,4,4,444,Platinum,079 Merry Park,2160,NSW,Australia,9,Male,97,1998-06-13,Financial Services,Mass Customer,No,3.0,25.357097142574574,20-34
100,11.0,2,877.4,4,1,1,411,Gold,8722 Summit Alley,2065,NSW,Australia,12,Male,80,1968-05-11,Financial Services,Mass Customer,Yes,4.0,55.44669514937827,50-64
101,8.0,4,2589.89,4,1,2,412,Platinum,9554 Artisan Pass,2150,NSW,Australia,10,Male,83,1975-12-29,Manufacturing,High Net Worth,No,11.0,47.81341041389432,35-49
102,42.0,7,2587.0099999999998,3,3,2,332,Gold,55850 Butterfield Road,2168,NSW,Australia,9,Male,51,1956-11-27,Manufacturing,Affluent Customer,No,16.0,66.8993601596112,65-79
103,116.0,4,895.4499999999999,1,1,1,111,Bronze,68 Little Fleur Crossing,2046,NSW,Australia,12,Female,49,1997-04-21,Financial Services,Affluent Customer,Yes,4.0,26.501542271495772,20-34
104,64.0,7,3112.8000000000006,2,3,3,233,Silver,85688 New Castle Crossing,4171,QLD,Australia,10,Female,40,1978-06-06,Health,Mass Customer,Yes,9.0,45.37667317767454,35-49
105,89.0,4,3475.04,1,1,3,113,Bronze,8611 Loomis Lane,2155,NSW,Australia,10,Female,25,2001-09-17,Manufacturing,Mass Customer,No,1.0,22.093511990244274,20-34
107,81.0,4,2343.9700000000003,2,1,2,212,Silver,01 Muir Parkway,2096,NSW,Australia,12,Female,97,1990-07-01,Financial Services,Mass Customer,Yes,9.0,33.3079790908692,20-34
112,47.0,6,5742.19,2,3,4,234,Silver,0 David Terrace,3204,VIC,Australia,11,Female,88,1975-08-12,Retail,High Net Worth,No,12.0,48.19397948786572,35-49
114,70.0,4,2195.26,2,1,2,212,Silver,60 Oneill Street,2170,NSW,Australia,9,Female,10,1985-10-23,Entertainment,Affluent Customer,No,8.0,37.995275886833525,35-49
116,12.0,8,2447.5400000000004,4,4,2,442,Platinum,0349 Farmco Terrace,2168,NSW,Australia,8,Male,49,1999-02-05,Manufacturing,Affluent Customer,Yes,2.0,24.7082131819183,20-34
117,5.0,10,6917.34,4,4,4,444,Platinum,185 Pennsylvania Way,4226,QLD,Australia,6,Female,75,1982-02-23,Manufacturing,Mass Customer,No,15.0,41.65859546218415,35-49
120,129.0,2,869.3200000000003,1,1,1,111,Bronze,7 Carberry Crossing,2485,NSW,Australia,2,Male,80,1978-09-02,Financial Services,High Net Worth,Yes,4.0,45.135737361059554,35-49
121,111.0,4,2892.0899999999997,1,1,3,113,Bronze,53 Talisman Trail,2097,NSW,Australia,9,Male,82,1957-10-02,Manufacturing,Mass Customer,No,15.0,66.05334689445175,65-79
122,8.0,5,2695.2200000000003,4,2,2,422,Platinum,5 Prairie Rose Road,4817,QLD,Australia,2,Male,87,1979-04-19,Financial Services,Mass Customer,Yes,12.0,44.508756656459184,35-49
123,191.0,4,3245.75,1,1,3,113,Bronze,84 Florence Parkway,2516,NSW,Australia,8,Female,85,1988-12-03,Financial Services,High Net Worth,No,15.0,34.882275619887594,35-49
124,2.0,7,4054.25,4,3,3,433,Platinum,739 Elmside Way,3074,VIC,Australia,8,Female,27,1995-05-03,Health,High Net Worth,Yes,5.0,28.47009740952051,20-34
125,83.0,9,3303.88,2,4,3,243,Silver,684 Northport Circle,2213,NSW,Australia,10,Female,94,1960-03-17,Property,Mass Customer,No,16.0,63.59744430918306,50-64
126,11.0,3,1096.46,4,1,1,411,Gold,8 Hagan Hill,4508,QLD,Australia,4,Male,53,1992-10-15,Health,Mass Customer,Yes,3.0,31.01635092601982,20-34
127,23.0,10,3993.71,3,4,3,343,Gold,0 Pearson Crossing,4405,QLD,Australia,1,Female,81,1974-12-03,Financial Services,Mass Customer,No,19.0,48.88393205362682,35-49
128,137.0,4,2193.06,1,1,2,112,Bronze,10918 Merry Way,2452,NSW,Australia,5,Male,73,1977-07-17,Property,Mass Customer,Yes,12.0,46.26375504793882,35-49
129,178.0,4,2753.75,1,1,2,112,Bronze,97 Coolidge Trail,2142,NSW,Australia,9,Male,64,1985-07-20,Financial Services,High Net Worth,Yes,19.0,38.25537705249744,35-49
130,76.0,2,1779.58,2,1,1,211,Bronze,58 Helena Hill,2205,NSW,Australia,7,Male,32,1997-07-18,Manufacturing,Mass Customer,No,1.0,26.260606454880783,20-34
131,205.0,6,5494.91,1,3,4,134,Bronze,352 Forster Place,4132,QLD,Australia,3,Female,57,1964-10-16,Retail,High Net Worth,No,8.0,59.0141879794843,50-64
132,7.0,6,2780.7200000000003,4,3,2,432,Platinum,12306 Lawn Street,2145,NSW,Australia,8,Female,5,1963-07-07,Manufacturing,Mass Customer,Yes,9.0,60.292790551747935,50-64
133,26.0,5,803.8900000000001,3,2,1,321,Gold,19392 7th Trail,4744,QLD,Australia,1,Male,12,1977-06-13,Financial Services,Mass Customer,Yes,16.0,46.35684388617643,35-49
134,14.0,6,2946.42,4,3,3,433,Platinum,1605 Northfield Junction,2158,NSW,Australia,11,Female,34,1997-08-01,Telecommunications,Affluent Customer,Yes,5.0,26.222275756782942,20-34
135,115.0,6,3254.07,1,3,3,133,Bronze,9674 Graceland Junction,3201,VIC,Australia,6,Female,18,1975-01-18,IT,Mass Customer,No,3.0,48.75798833130535,35-49
136,20.0,8,3543.2000000000003,3,4,3,343,Gold,638 Thackeray Junction,4178,QLD,Australia,3,Male,46,1973-05-26,Manufacturing,High Net Worth,Yes,7.0,50.40620834951243,50-64
137,27.0,5,1496.4499999999998,3,2,1,321,Gold,869 Forster Circle,2112,NSW,Australia,10,Male,27,1987-11-21,Property,High Net Worth,No,10.0,35.91720446852925,35-49
138,64.0,7,3377.12,2,3,3,233,Silver,0 Golden Leaf Crossing,2033,NSW,Australia,9,Male,5,1985-04-28,Financial Services,Affluent Customer,Yes,13.0,38.48262333407748,35-49
140,3.0,6,2699.9,4,3,2,432,Platinum,829 Washington Crossing,3186,VIC,Australia,9,Male,9,1994-05-20,Manufacturing,Mass Customer,No,2.0,29.42288904795251,20-34
141,159.0,3,2138.3500000000004,1,1,2,112,Bronze,585 Loomis Court,2097,NSW,Australia,11,Male,67,1954-06-25,Financial Services,High Net Worth,Yes,10.0,69.32514576780302,65-79
142,4.0,11,3917.3399999999997,4,4,3,443,Platinum,68063 Blue Bill Park Center,3058,VIC,Australia,9,Male,57,1967-08-07,Health,Affluent Customer,No,17.0,56.20783329732108,50-64
143,13.0,4,2474.77,4,1,2,412,Platinum,15673 Farmco Point,4017,QLD,Australia,6,Male,19,1957-09-01,Argiculture,Mass Customer,Yes,11.0,66.13822201166839,65-79
145,28.0,7,3140.3,3,3,3,333,Gold,7245 Cottonwood Center,2285,NSW,Australia,5,Male,33,1997-07-21,Financial Services,Mass Customer,No,4.0,26.252392733859818,20-34
146,194.0,2,217.05999999999995,1,1,1,111,Bronze,20382 Spohn Alley,2219,NSW,Australia,11,Male,34,1985-04-08,Manufacturing,Mass Customer,No,8.0,38.53738147421725,35-49
147,34.0,6,5034.16,3,3,4,334,Gold,12375 Cambridge Pass,2065,NSW,Australia,11,Female,32,1973-12-06,Health,Mass Customer,Yes,10.0,49.87505439015666,50-64
149,18.0,4,1680.6599999999999,4,1,1,411,Gold,939 Coleman Pass,4509,QLD,Australia,7,Female,41,1995-01-31,Health,Mass Customer,Yes,1.0,28.721984854163452,20-34
150,75.0,4,2446.51,2,1,2,212,Silver,69914 Bowman Place,2330,NSW,Australia,7,Male,6,1983-08-23,Financial Services,Affluent Customer,No,17.0,40.163698236368425,35-49
151,0.0,7,5665.410000000001,4,3,4,434,Platinum,34457 Springview Street,2759,NSW,Australia,9,Male,36,1965-01-31,Manufacturing,Mass Customer,Yes,13.0,58.721231929736526,50-64
152,158.0,2,1966.88,1,1,2,112,Bronze,992 Old Shore Trail,2069,NSW,Australia,12,Female,5,1981-03-03,Financial Services,Mass Customer,No,16.0,42.636028263679044,35-49
153,64.0,7,5522.509999999999,2,3,4,234,Silver,453 Sheridan Street,2747,NSW,Australia,8,Female,73,1977-07-28,Entertainment,Mass Customer,Yes,12.0,46.23363807086194,35-49
155,8.0,3,1088.42,4,1,1,411,Gold,63344 Holmberg Crossing,2025,NSW,Australia,10,Male,4,1985-12-28,Manufacturing,Mass Customer,No,10.0,37.814574024372284,35-49
156,16.0,5,3095.3699999999994,4,2,3,423,Platinum,9 Huxley Circle,3191,VIC,Australia,11,Female,23,1979-09-09,Financial Services,Mass Customer,Yes,11.0,44.11723595445983,35-49
157,135.0,2,183.1999999999999,1,1,1,111,Bronze,0 Hazelcrest Road,3025,VIC,Australia,8,Male,97,1974-11-23,Financial Services,Affluent Customer,No,16.0,48.911311123696706,35-49
159,66.0,6,2935.3700000000003,2,3,3,233,Silver,80 Duke Terrace,2233,NSW,Australia,10,Male,90,1987-05-12,Health,Affluent Customer,No,13.0,36.44562052087803,35-49
160,93.0,2,2614.1600000000003,1,1,2,112,Bronze,860 Hintze Lane,2154,NSW,Australia,11,Male,5,1964-07-15,Health,Mass Customer,No,18.0,59.26881333113423,50-64
162,98.0,3,1329.61,1,1,1,111,Bronze,5 Corry Court,2119,NSW,Australia,10,Male,90,1979-08-12,IT,Mass Customer,No,15.0,44.193897350655504,35-49
163,114.0,2,1101.28,1,1,1,111,Bronze,65105 Sommers Pass,3016,VIC,Australia,10,Female,58,1976-09-06,Entertainment,High Net Worth,Yes,14.0,47.123457848133214,35-49
164,198.0,3,786.1400000000001,1,1,1,111,Bronze,2054 Sommers Pass,4113,QLD,Australia,4,Female,55,1999-08-07,Retail,Affluent Customer,Yes,1.0,24.207176199639402,20-34
165,8.0,8,6107.04,4,4,4,444,Platinum,22371 Miller Trail,2032,NSW,Australia,10,Male,61,1984-03-25,Argiculture,Mass Customer,Yes,12.0,39.57504822986589,35-49
166,63.0,7,4063.66,2,3,3,233,Silver,35807 Oneill Way,4300,QLD,Australia,4,Male,54,1955-06-12,Manufacturing,Affluent Customer,No,6.0,68.36140250134306,65-79
169,61.0,3,696.26,2,1,1,211,Bronze,93 Iowa Junction,2116,NSW,Australia,9,Male,20,1957-10-19,Telecommunications,High Net Worth,Yes,5.0,66.00680247533295,65-79
170,334.0,2,1328.03,1,1,1,111,Bronze,48 Cascade Terrace,3057,VIC,Australia,8,Male,80,1975-06-02,Health,High Net Worth,No,21.0,48.3883708853619,35-49
171,18.0,8,4833.14,4,4,4,444,Platinum,13950 Jackson Avenue,2099,NSW,Australia,11,Female,62,1970-12-04,Manufacturing,Mass Customer,No,10.0,52.88127628383004,50-64
172,11.0,7,2348.66,4,3,2,432,Platinum,35386 Mockingbird Road,3749,VIC,Australia,4,Male,54,1988-09-12,Manufacturing,Affluent Customer,Yes,6.0,35.10678399446065,35-49
173,15.0,9,6549.509999999999,4,4,4,444,Platinum,2 Randy Point,2766,NSW,Australia,8,Female,99,1997-01-02,Health,Affluent Customer,No,1.0,26.799974135257518,20-34
174,11.0,10,7628.24,4,4,4,444,Platinum,6898 Redwing Park,2148,NSW,Australia,9,Female,93,1989-11-26,Health,Mass Customer,No,12.0,33.902104911385706,20-34
175,64.0,5,2170.54,2,2,2,222,Silver,52273 Bay Place,3145,VIC,Australia,11,Male,36,1975-11-28,Manufacturing,Affluent Customer,No,5.0,47.89828553111096,35-49
176,22.0,4,3025.56,3,1,3,313,Gold,272 Montana Avenue,2021,NSW,Australia,8,Male,39,1992-04-13,Property,Mass Customer,No,10.0,31.522863722312692,20-34
177,37.0,11,3980.1399999999994,3,4,3,343,Gold,82520 Mifflin Drive,2333,NSW,Australia,5,Female,25,1989-11-09,Financial Services,High Net Worth,No,4.0,33.94864933050451,20-34
179,40.0,3,1814.59,3,1,2,312,Gold,4 Dayton Terrace,2280,NSW,Australia,9,Male,23,1966-05-11,Manufacturing,High Net Worth,Yes,6.0,57.44810517148687,50-64
180,11.0,7,4065.35,4,3,3,433,Platinum,216 Barnett Junction,4120,QLD,Australia,8,Female,16,1971-09-17,Argiculture,Affluent Customer,No,14.0,52.09549697282434,50-64
181,50.0,5,2365.24,2,2,2,222,Silver,8256 Annamark Court,3638,VIC,Australia,1,Female,49,1982-11-21,Manufacturing,Mass Customer,No,9.0,40.91662266329026,35-49
182,13.0,7,5409.120000000001,4,3,4,434,Platinum,83012 Dapin Lane,4300,QLD,Australia,4,Male,99,1992-11-20,Financial Services,Affluent Customer,Yes,7.0,30.917786273768233,20-34
183,102.0,6,3187.84,1,3,3,133,Bronze,8 Haas Park,2074,NSW,Australia,10,Female,7,1997-08-05,Retail,Affluent Customer,No,3.0,26.21132412875499,20-34
184,32.0,3,2181.35,3,1,2,312,Gold,50 Meadow Ridge Way,2880,NSW,Australia,1,Male,40,1971-12-13,Manufacturing,High Net Worth,Yes,7.0,51.85729906321634,50-64
186,23.0,6,2166.17,3,3,2,332,Gold,0059 Brentwood Road,4560,QLD,Australia,7,Female,46,1974-05-06,Financial Services,Mass Customer,No,3.0,49.461630432101394,50-64
188,15.0,6,2658.87,4,3,2,432,Platinum,4179 Carioca Terrace,2220,NSW,Australia,11,Female,54,1975-06-22,Property,High Net Worth,Yes,13.0,48.33361274522213,35-49
189,3.0,5,5329.98,4,2,4,424,Platinum,59265 Sullivan Junction,3031,VIC,Australia,4,Male,73,1981-07-19,Financial Services,Affluent Customer,No,10.0,42.25819709671463,35-49
190,207.0,3,699.4800000000002,1,1,1,111,Bronze,7 Warbler Point,2250,NSW,Australia,9,Female,42,1979-02-04,Health,Affluent Customer,No,10.0,44.71136177497633,35-49
192,79.0,4,1519.4700000000003,2,1,1,211,Bronze,0 Bay Center,3196,VIC,Australia,6,Female,2,1978-11-19,Health,Mass Customer,Yes,8.0,44.92218061451445,35-49
193,24.0,5,2551.5,3,2,2,322,Gold,10878 Waywood Way,4352,QLD,Australia,7,Male,13,1964-07-22,Manufacturing,Mass Customer,Yes,12.0,59.249647982085314,50-64
194,108.0,3,2608.28,1,1,2,112,Bronze,362 Mayer Terrace,4680,QLD,Australia,5,Female,4,1974-11-16,Financial Services,Affluent Customer,No,10.0,48.930476472745625,35-49
195,0.0,7,9633.41,4,3,4,434,Platinum,43 Upham Crossing,3143,VIC,Australia,9,Female,34,1958-11-14,Manufacturing,Mass Customer,No,6.0,64.93628083560044,65-79
196,146.0,8,3737.9999999999995,1,4,3,143,Bronze,0 Superior Drive,2747,NSW,Australia,8,Male,90,1966-02-22,Manufacturing,High Net Worth,No,6.0,57.661661918031974,50-64
199,15.0,4,2650.53,4,1,2,412,Platinum,7451 Jana Lane,2138,NSW,Australia,8,Female,61,1978-02-13,Health,Mass Customer,Yes,21.0,45.68605666946424,35-49
200,7.0,9,7283.86,4,4,4,444,Platinum,7 Havey Point,4005,QLD,Australia,2,Male,7,1957-02-04,Property,Affluent Customer,Yes,19.0,66.71044457612899,65-79
201,28.0,7,4159.18,3,3,4,334,Gold,32 Steensland Plaza,2233,NSW,Australia,9,Male,45,1966-04-20,Manufacturing,Mass Customer,Yes,11.0,57.50560121863363,50-64
202,18.0,3,1295.91,4,1,1,411,Gold,107 Elmside Parkway,4811,QLD,Australia,5,Female,38,1963-06-24,Entertainment,Affluent Customer,Yes,16.0,60.328383342838784,50-64
203,11.0,5,1481.1200000000001,4,2,1,421,Platinum,2 Gina Junction,2085,NSW,Australia,11,Male,71,1964-01-13,Argiculture,Mass Customer,Yes,11.0,59.77258822042012,50-64
